,Unnamed: 0,date,title,url
145,145,2022.02.16.,"장인 앞에서 아내 살해한 남편, 1심서 징역 20년",https://www.joongang.co.kr/article/25048706
148,148,2022.02.18.,"'갈비뼈 부러뜨려 6살 조카 살해' 외삼촌 부부, 2심서 대폭 감형",https://view.asiae.co.kr/article/2022021816260277535
150,150,2022.02.11.,"술 먹지 말랬다고 90대 노모 살해한 아들, 징역 14년",http://news.kmib.co.kr/article/view.asp?arcid=0016760104&code=61121211&cp=nv
153,153,2022.02.11.,"8세 딸 대소변 먹이고 살해한 부부, 대법서 징역 30년 확정",https://biz.chosun.com/topics/law_firm/2022/02/11/UM2ZGASHBRHKNAYSWPO3HB4QMU/?utm_source=naver&utm_medium=original&utm_campaign=biz
155,155,2022.02.11.,“시끄럽다” 같은 병실 환자 살해한 70대 징역 12년,https://news.kbs.co.kr/news/view.do?ncd=5392962&ref=A
156,156,2022.02.16.,"장검으로 별거 중인 아내 살해한 남편, 1심 징역 20년",https://imnews.imbc.com/news/2022/society/article/6342093_35673.html
157,157,2022.02.18.,"'6세 조카 폭행 살해' 외삼촌, 2심서 징역 20년",http://www.fnnews.com/news/202202181747007088
159,159,2022.02.23.,"장검으로 아내 찔러 숨지게 한 50대, 징역 20년형 불복 항소",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4705339
161,161,2022.02.11.,8살 딸 잔혹 학대·살해한 20대 부부 징역 30년형 확정,https://www.nocutnews.co.kr/news/5705292
162,162,2022.02.17.,'생후 2주' 아들 때려 살해한 20대 아빠 징역 25년 확정,https://www.ytn.co.kr/_ln/0103_202202171417183547
163,163,2022.02.17.,제주 변호사 살해 공모 피고인에 무죄 선고…협박 혐의만 인정,http://yna.kr/AKR20220217116100056?did=1195m
164,164,2022.02.11.,"""술 그만 마셔라""는 90대 노모 살해한 아들, 징역 14년 확정",http://www.fnnews.com/news/202202101702040715
165,165,2022.02.11.,"""시끄럽다"" 정신병원 같은 병실 환자 살해, 70대 징역 12년",https://imnews.imbc.com/news/2022/society/article/6340749_35673.html
166,166,2022.02.16.,"장인 앞에서 아내 장검 살해 혐의 남편, 1심 ‘징역 20년’",http://www.fnnews.com/news/202202161518521830
167,167,2022.02.23.,"""왜 잔소리 해?"" 아내에 둔기 휘둘러 중상 입힌 70대 항소심도 징역 3년",https://www.pressian.com/pages/articles/2022022315585163551?utm_source=naver&utm_medium=search
175,175,2022.02.18.,"""동거하면 1억 준다더니 안 줘"" 80대男 살해한 50대女 징역 5년",http://news.heraldcorp.com/view.php?ud=20220218000581
178,178,2022.02.11.,대소변 먹이고 찬물 샤워까지…8살 딸 살해한 부부 징역 30년 확정,https://www.news1.kr/articles/?4581624
179,179,2022.02.18.,"'6세 조카 무차별 폭행 살해 혐의' 외삼촌, 2심서 징역 20년으로 감형",https://www.news1.kr/articles/?4589598
180,180,2022.02.11.,여덟 살 딸 살해한 부부 징역 30년 확정,https://ilyo.co.kr/?ac=article_view&entry_id=422585
182,182,2022.02.16.,"장검으로 '이혼 소송' 아내 살해한 남편, 1심 징역 20년",https://news.sbs.co.kr/news/endPage.do?news_id=N1006643136&plink=ORI&cooper=NAVER
183,183,2022.02.15.,"'돈 때문에' 여자친구 살해 40대男 항소심, 원심 '징역 28년' 유지",https://view.asiae.co.kr/article/2022021516513471953
185,185,2022.02.10.,"아내 살해하고 ""화 못 참았으니 심신미약""…70대 징역 8년",http://www.newsis.com/view/?id=NISX20220209_0001752845&cID=10201&pID=10200
186,186,2022.02.18.,‘10세 여아 물고문 살인사건’ 방임 혐의...친모 2심서 징역 2년,https://www.chosun.com/national/regional/2022/02/18/5ACV2GXPVBC3XN2TEESQN7SQ3E/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
187,187,2022.02.11.,"8살 딸 대소변 먹이고 학대·살해…친모·계부, 징역 30년 확정",https://www.donga.com/news/article/all/20220211/111718931/2
189,189,2022.02.17.,"제주, 말다툼 하다 아내 살해한 40대 징역 15년",http://www.headlinejeju.co.kr/news/articleView.html?idxno=476668
191,191,2022.02.16.,"장인 앞에서 흉기로 아내 살해한 남편, 1심 징역 ‘20년’",http://www.segye.com/content/html/2022/02/16/20220216514969.html?OutUrl=naver
193,193,2022.02.11.,술 조금만 마시라는 90대母 살해한 아들…징역 14년 확정,http://www.sisajournal.com/news/articleView.html?idxno=233088
194,194,2022.02.15.,“돈 갚으라”는 독촉에 애인 야산으로 유인해 살해한 40대 항소심서도 징역 28년,https://www.seoul.co.kr/news/newsView.php?id=20220215500165&wlog_tag3=naver
197,197,2022.02.18.,'동거하면 1억' 약속 어긴 80대 때려 숨지게 한 50대 징역 5년,https://news.sbs.co.kr/news/endPage.do?news_id=N1006645914&plink=ORI&cooper=NAVER
198,198,2022.02.17.,"""잔소리했다고""…제주서 아내 살해 40대 '징역 15년'",http://www.jemin.com/news/articleView.html?idxno=732081
199,199,2022.02.15.,"'부동산 갈등' 노인 살해한 50대男, 항소심도 징역 18년",https://view.asiae.co.kr/article/2022021516180314118
200,200,2022.02.11.,"""술 조금만 마셔라"" 꾸짖은 90대 노모 살해 남성, 징역 14년 확정",http://www.inews24.com/view/1450818
202,202,2022.02.17.,생후 2주 아들 죽어가는데…고기굽고 술마신 父 징역 25년 확정,https://www.joongang.co.kr/article/25049029
