,date,title,url,처벌,범죄_키워드,가해자_나이대,피해자,가해자
0,2022.01.26.,결혼 1달 만에 아내 폭행·살해한 50대에 징역 30년 구형,http://www.newsis.com/view/?id=NISX20220126_0001738203&cID=10807&pID=10800,징역 30년,결혼 아내 폭행 살해 징역 구형,50,아내,남편
1,2022.01.29.,"술주정·폭언·욕설 시달려 남편 살해한 60대 아내, '징역 4년'",https://www.news1.kr/articles/?4570429,징역 4년,주정 폭언 욕설 남편 살해 아내 징역,60,남편,아내
2,2022.01.13.,아내 용서에도…흉기로 살해한 40대 '징역 25년' 구형,https://www.nocutnews.co.kr/news/5689758,징역 25년,아내 용서 흉기 살해 징역 구형,40,아내,남편
3,2022.01.26.,이혼 소송 중 장검으로 아내 살해한 40대에 무기징역 구형,https://view.asiae.co.kr/article/2022012615490412989,무기징역,이혼 소송 장검 아내 살해 무기징역 구형,40,아내,남편
4,2022.01.24.,“왜 수익금 안 줘”…동업 친구 살해하려 한 20대 3명 징역형,https://www.seoul.co.kr/news/newsView.php?id=20220124500042&wlog_tag3=naver,,수익금 동업 친구 살해 징역형,20,친구,친구
5,2022.01.26.,"혼인신고 한 달 뒤 아내 살해 혐의 50대… 검찰, 징역 30년 구형",http://moneys.mt.co.kr/news/mwView.php?no=2022012613218073461,징역 30년,혼인신고 아내 살해 혐의 검찰 징역 구형,50,아내,남편
6,2022.01.24.,수익 배분에 불만 품고 동업하는 친구 살해 시도한 20대 징역 4년,http://www.segye.com/content/html/2022/01/24/20220124502333.html?OutUrl=naver,징역 4년,수익 배분 불만 동업 친구 살해 시도 징역,20,친구,친구
7,2022.01.24.,"""왜 수익금 안 줘"" 동업 친구 살해 시도 20대 3명 실형·집유",https://hankookilbo.com/News/Read/A2022012409190003646?did=NA,실형 ,수익금 동업 친구 살해 시도 실형 집유,20,친구,친구
8,2022.01.26.,"장인 앞에서 아내 살해 40대男 ""평생 속죄""...檢 무기징역 구형",http://news.mt.co.kr/mtview.php?no=2022012616532912423,무기징역,장인 아내 살해 평생 속죄 무기징역 구형,40,아내,남편
9,2022.01.26.,"장인 앞에서 아내 수십차례 찔러 살해한 40대, 검찰 ‘무기징역’ 구형",http://www.segye.com/content/html/2022/01/26/20220126515897.html?OutUrl=naver,무기징역,장인 아내 차례 살해 검찰 무기징역 구형,40,아내,남편
