,date,title,url,처벌,범죄_키워드,가해자_나이대,피해자,가해자
10,2022.01.26.,"장인 앞에서 일본도로 아내 살해한 50대, 무기징역 구형 후 울먹이며 “평생 속죄하며 살겠다”",http://www.segye.com/content/html/2016/11/22/20161122503643.html?OutUrl=naver,무기징역 구형 ,장인 일본도 아내 살해 무기징역 구형 평생 속죄,50,아내,남편
11,2022.01.24.,혼자 수익금 관리 동업자 친구 살해 시도…20대 3명 실형·집행유예,http://www.munhwa.com/news/view.html?no=20220124MW08591198317,실형 ,혼자 수익금 관리 업자 친구 살해 시도 실형 집행유예,20,친구,친구
12,2022.01.19.,말다툼 중 격분해 지인 살해·암매장… 40대 남성 징역 18년,http://www.segye.com/content/html/2022/01/19/20220119515673.html?OutUrl=naver,징역 18년,말다툼 격분 지인 살해 암매장 남성 징역,40,지인,지인
13,2022.01.19.,말다툼 중 지인 살해 암매장한 40대에 징역 18년,http://yna.kr/AKR20220119126200053?did=1195m,징역 18년,말다툼 지인 살해 암매장 징역,40,지인,지인
14,2022.01.13.,집행유예 선고 38일 만에 흉기로 아내 살해한 40대 징역 25년 구형,https://www.news1.kr/articles/?4553613,징역 25년,집행유예 선고 흉기 아내 살해 징역 구형,40,아내,남편
15,2022.01.14.,수면제 먹인 뒤 남자친구 흉기로 살해…30대 여성 징역 18년,https://www.nocutnews.co.kr/news/5690415,징역 18년,수면제 남자친구 흉기 살해 여성 징역,30,남자친구,여성
16,2022.01.14.,남자친구 수면제 먹이고 살해… 20대 여성 징역 18년 선고,https://biz.chosun.com/topics/law_firm/2022/01/14/ZKHWKWFNKNEFHKZ6GKFTYTZ4LM/?utm_source=naver&utm_medium=original&utm_campaign=biz,징역 18년,남자친구 수면제 먹이 살해 여성 징역 선고,20,남자친구,여성
17,2022.01.19.,술먹고 말다툼하다 지인 살해·시신 은닉 40대 남성 '징역 18년',https://news.imaeil.com/page/view/2022011916532911795,징역 18년,말다툼 지인 살해 시신 은닉 남성 징역,40,지인,지인
18,2022.01.19.,지인 말다툼하다 살해 후 암매장한 40대 징역 18년 선고  ,https://www.pressian.com/pages/articles/2022011916210615018?utm_source=naver&utm_medium=search,징역 18년,지인 말다툼 살해 암매장 징역 선고,40,지인,지인
19,2022.01.25.,ubc 울산방송) 동업하는 친구 살해 시도 20대 3명 실형·집유,http://web.ubc.co.kr/wp/archives/96025,실형 ,울산 방송 동업 친구 살해 시도 실형 집유,20,친구,친구
20,2022.01.13.,"검찰, 아내 살해한 제주 40대 징역 25년 구형",http://www.jejusori.net/news/articleView.html?idxno=337520,징역 25년,검찰 아내 살해 제주 징역 구형,40,아내,남편
21,2022.01.19.,말다툼하다 '욱해서'...지인 살해·암매장한 40대 중형,http://www.inews24.com/view/1444500,,말다툼 욱해 지인 살해 암매장 중형,40,지인,지인
22,2022.01.13.,"'빚 독촉에 지인 살해' 50대, 형량 가중…징역 20년→25년",http://yna.kr/AKR20220113081400004?did=1195m,징역 20년,독촉 지인 살해 형량 가중 징역,50,지인,지인
23,2022.01.13.,"""집행유예 38일 만에""…제주서 아내 살해 40대 징역 25년 '구형'",http://www.jemin.com/news/articleView.html?idxno=730406,징역 25년 구형 ,집행유예 제주 아내 살해 징역 구형,40,아내,남편
24,2022.01.12.,"50대 남성, 잘못 온 문자로 아내 외도 의심 살해…징역 30년 구형",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4678942,징역 30년,남성 잘못 문자 아내 외도 의심 살해 징역 구형,50,아내,남편
25,2022.01.06.,"생활고·우울증에 자녀 살해한 40대 엄마, 항소심서 감형",https://biz.chosun.com/topics/law_firm/2022/01/06/BPEUM3AMQJARBH6OEKKNXRSKCI/?utm_source=naver&utm_medium=original&utm_campaign=biz,,생활고 우울증 자녀 살해 엄마 항소심 감형,40,자녀,엄마
26,2022.01.19.,별거중인 아내와 말다툼…장모·의붓딸 살해하려 한 30대,http://www.segye.com/content/html/2022/01/18/20220118513937.html?OutUrl=naver,,별거 아내 말다툼 장모 의붓딸 살해,30,아내,남편
27,2022.01.24.,"대구고법, 중증의 정신질환 앓고 있는 40대 딸 살해 아버지 항소 기각",http://www.lawissue.co.kr/view.php?ud=2022012415112438109a8c8bf58f_12,,대구 고법 중증 정신질환 살해 아버지 항소 기각,40,자녀,아버지
28,2022.01.09.,잔소리·욕설하는 아버지 살해한 30대 아들 형량 항소심서 감형,https://www.seoul.co.kr/news/newsView.php?id=20220109500019&wlog_tag3=naver,,잔소리 욕설 아버지 살해 아들 형량 항소심 감형,30,아버지,아들
29,2022.01.13.,아내 살해한 40대 징역 25년 구형,https://jejumbc.com/article/LT84qQMIE9cDf,징역 25년,아내 살해 징역 구형,40,아내,남편
30,2022.01.12.,“계획살인 아니지만 가정폭력 흔적이…” 아내 외도 의심·살해한 50대에 중형 구형,http://www.segye.com/content/html/2022/01/12/20220112503660.html?OutUrl=naver,중형 ,계획 살인 가정폭력 흔적 아내 외도 의심 살해 중형 구형,50,아내,남편
31,2022.01.26.,남자친구 살해한 30대 여성 항소심서 감형,https://jtv.co.kr/2021/?c=3/45&uid=2156892,,남자친구 살해 여성 항소심 감형,30,남자친구,여성
32,2022.01.09.,"잔소리·욕설하는 아버지 살해한 30대 아들, 15→13년 감형",http://yna.kr/AKR20220107044100057?did=1195m,,잔소리 욕설 아버지 살해 아들 감형,30,아버지,아들
33,2022.01.19.,"""언쟁 도중 지인 살해""...포항 야산 암매장한 40대 '징역 18년'",http://www.youthdaily.co.kr/news/article.html?no=91012,징역 18년,언쟁 도중 지인 살해 포항 야산 암매장 징역,40,지인,지인
34,2022.01.19.,지인 살해 뒤 암매장한 40대 징역 18년 선고...전자발찌 부착 10년,https://www.yeongnam.com/web/view.php?key=20220119010002381,징역 18년,지인 살해 암매장 징역 선고 전자발찌 부착,40,지인,지인
35,2022.01.19.,'지인 살해 후 시신 유기' 40대男 징역 18년 선고,http://www.hidomin.com/news/articleView.html?idxno=474525,징역 18년,지인 살해 시신 유기 징역 선고,40,지인,지인
36,2022.01.13.,빚 독촉하는 지인 살해한 50대 2심 '징역 20년→25년',https://www.ytn.co.kr/_ln/0103_202201131427585591,징역 20년,독촉 지인 살해 징역,50,지인,지인
37,2022.01.06.,"우울증 겪다 8살 아들 살해한 40대 어머니, 항소심서 6개월 감형",https://www.news1.kr/articles/?4546266,,우울증 아들 살해 어머니 항소심 개월 감형,40,아들,어머니
38,2022.01.05.,"""무시한다""…지인 살해 후 시신 유기한 50대 구속기소",http://yna.kr/AKR20220105142300053?did=1195m,,무시 지인 살해 시신 유기한 구속기소,50,지인,지인
39,2022.01.10.,“왜 무시해”… 지인 살해 후 시신 유기한 50대 남성 구속 기소,http://www.segye.com/content/html/2022/01/10/20220110504216.html?OutUrl=naver,,무시 지인 살해 시신 유기한 남성 구속 기소,50,지인,지인
40,2022.01.13.,"10대 딸 ‘학대 살해’ 어머니, 오늘 1심 선고",https://news.kbs.co.kr/news/view.do?ncd=5371505&ref=A,,학대 살해 어머니 오늘 선고,10,자녀,어머니
41,2022.01.11.,"아내 외도 의심해 흉기 살해 50대…검찰, 징역 30년 구형",http://www.ifm.kr/news/326640,징역 30년,아내 외도 의심 흉기 살해 검찰 징역 구형,50,아내,남편
42,2022.01.10.,욕설하는 아버지 살해한 30대 아들 2심서 2년 감형,https://news.kbs.co.kr/news/view.do?ncd=5368320&ref=A,,욕설 아버지 살해 아들 감형,30,아버지,아들
43,2022.02.10.,"""아들 돈 함부로 받지 마"" 낮잠 자던 아내 살해한 70대",https://news.sbs.co.kr/news/endPage.do?news_id=N1006634951&plink=ORI&cooper=NAVER,,아들 함부로 낮잠 아내 살해,70,아내,남편
44,2022.02.11.,"""술 조금만 마셔"" 꾸지람에...90대 노모 살해한 아들, 징역 14년",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4697614,징역 14년,조금 꾸지람 노모 살해 아들 징역,90,노모,아들
45,2022.02.10.,"""아들 용돈 왜 받아""…말다툼 끝 아내 살해 70대 2심도 징역 8년",https://www.news1.kr/articles/?4579579,징역 8년,아들 용돈 말다툼 아내 살해 징역,70,아내,남편
46,2022.02.16.,'장인 앞에서 아내 살해' 40대 남성 1심서 20년형,http://www.newspim.com/news/view/20220216000962,,장인 아내 살해 남성,40,아내,남편
47,2022.02.10.,"""아들 돈 함부로 받지 마""…아내 살해한 70대 2심도 징역 8년",http://yna.kr/AKR20220209154900004?did=1195m,징역 8년,아들 함부로 아내 살해 징역,70,아내,남편
48,2022.02.03.,"빚 독촉에 부모 살해하려 한 40대, 항소심서 징역 7년",https://www.hankyung.com/society/article/2022020377317,징역 7년,독촉 부모 살해 항소심 징역,40,부모,자식
49,2022.02.10.,"“아들 돈 쓰지마” 말다툼 끝 아내 살해한 70대, 2심도 징역 8년",https://www.donga.com/news/article/all/20220210/111689116/2,징역 8년,아들 말다툼 아내 살해 징역,70,아내,남편
50,2022.02.10.,"암투병 지인 ""제발 죽여달라"" 부탁에…살해 저지른 40대女, 항소심서 감형",https://news.imaeil.com/page/view/2022021017235751525,,암투 지인 제발 달라 부탁 살해 항소심 감형,40,지인,지인
51,2022.02.11.,결혼 한 달 만에 배우자 살해한 50대 징역 선고,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=646839,,결혼 배우자 살해 징역 선고,50,배우자,배우자
52,2022.02.11.,이유도 없이…혼인신고 한 달 만에 아내 살해한 50대 중형,http://news.kmib.co.kr/article/view.asp?arcid=0016761332&code=61121111&cp=nv,,이유 혼인신고 아내 살해 중형,50,아내,남편
53,2022.02.11.,차량값 요구한 지인 살해 60대 항소심도 징역 12년,http://www.kwnews.co.kr/nview.asp?aid=222021000095,징역 12년,차량 요구 지인 살해 항소심 징역,60,지인,지인
54,2022.02.03.,빚 압박에 부모 살해하려 한 40대‥어머니 선처로 2심서 '징역 7년' 감형,https://imnews.imbc.com/news/2022/society/article/6338175_35673.html,징역 7년,압박 부모 살해 어머니 선처 징역 감형,40,부모,어머니
55,2022.02.24.,"아내 장검으로 살해한 50대, 징역 20년에 항소…'검찰도 항소'",http://www.hg-times.com/news/articleView.html?idxno=238824,징역 20년,아내 장검 살해 징역 항소 검찰 항소,50,아내,남편
56,2022.02.18.,가정폭력 집행유예 중 아내 살해한 40대 징역형,https://jejumbc.com/article/G4u_zc7UgNw,,가정폭력 집행유예 아내 살해 징역형,40,아내,남편
57,2022.02.17.,가정폭력 집유 기간 아내 살해 제주 40대 징역 15년,http://www.jejusori.net/news/articleView.html?idxno=338563,징역 15년,가정폭력 집유 기간 아내 살해 제주 징역,40,아내,남편
58,2022.02.18.,"'외도 의심' 별거중 아내 살해한 60대 남성, 징역 12년",https://imnews.imbc.com/news/2022/society/article/6342843_35673.html,징역 12년,외도 의심 별거 아내 살해 남성 징역,60,아내,남편
59,2022.02.10.,"""아들 용돈 왜 받아""…말다툼 끝 아내 살해 70대 2심도 징역 8년",https://www.news1.kr/articles/?4579579,징역 8년,아들 용돈 말다툼 아내 살해 징역,70,아내,남편
60,2022.02.16.,'장인 앞에서 아내 살해' 40대 남성 1심서 20년형,http://www.newspim.com/news/view/20220216000962,,장인 아내 살해 남성,40,아내,남편
61,2022.02.10.,경제적 문제로 다투던 아내 살해한 60대 남편… 징역 24년,https://www.chosun.com/national/regional/2022/02/10/4DYVO6NTK5B3BHOVR7QL5WL7SY/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,징역 24년,경제 문제 아내 살해 남편 징역,60,아내,남편
62,2022.02.10.,"“아들 돈 쓰지마” 말다툼 끝 아내 살해한 70대, 2심도 징역 8년",https://www.donga.com/news/article/all/20220210/111689116/2,징역 8년,아들 말다툼 아내 살해 징역,70,아내,남편
63,2022.02.11.,결혼 한 달 만에 배우자 살해한 50대 징역 선고,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=646839,,결혼 배우자 살해 징역 선고,50,배우자,배우자
64,2022.02.15.,"""술 취해 자녀 안 돌봐"" 아내 살해 30대 징역4년",http://www.yonhapnewstv.co.kr/MYH20220215021900038/?did=1825m,징역4년,취해 자녀 아내 살해 징역,30,아내,남편
65,2022.02.10.,“아들 돈 함부로 받지 말라” 다툼...아내 살해한 70대 징역 8년,https://www.seoul.co.kr/news/newsView.php?id=20220210500011&wlog_tag3=naver,징역 8년,아들 함부로 다툼 아내 살해 징역,70,아내,남편
66,2022.02.03.,빚 독촉 시달리다 부모 살해 시도한 40대 징역 7년,http://www.segye.com/content/html/2022/02/03/20220203502955.html?OutUrl=naver,징역 7년,독촉 부모 살해 시도 징역,40,부모,자식
67,2022.02.18.,"장인 앞에서 일본칼로 아내 살해한 40대 남성, 징역 20년 판결받자 항소",http://moneys.mt.co.kr/news/mwView.php?no=2022021810278037146,징역 20년,장인 아내 살해 남성 징역 판결 항소,40,아내,남편
68,2022.02.11.,"""술 조금만 먹으라"" 꾸지람에 격분, 90대 노모 살해한 아들 징역 14년 확정",https://www.news1.kr/articles/?4580718,징역 14년,조금 꾸지람 격분 노모 살해 아들 징역 확정,90,노모,아들
69,2022.02.11.,"""술 그만 마셔라""는 90대 노모 살해한 아들, 징역 14년 확정",http://www.fnnews.com/news/202202101702040715,징역 14년,노모 살해 아들 징역 확정,90,노모,아들
70,2022.02.11.,"""술 조금만 마셔"" 꾸지람에...90대 노모 살해한 아들, 징역 14년",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4697614,징역 14년,조금 꾸지람 노모 살해 아들 징역,90,노모,아들
71,2022.02.16.,'장인 앞에서 아내 살해' 40대 남성 1심서 20년형,http://www.newspim.com/news/view/20220216000962,,장인 아내 살해 남성,40,아내,남편
72,2022.02.10.,"""아들 돈 받지 말라""…말다툼 끝 아내 살해 70대, 징역 8년",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4696661,징역 8년,아들 말다툼 아내 살해 징역,70,아내,남편
73,2022.02.11.,혼인신고 한달 만에 아내 폭행·살해한 50대 항소심도 '징역 18년',http://news.tf.co.kr/read/national/1918086.htm,징역 18년,혼인신고 아내 폭행 살해 항소심 징역,50,아내,남편
74,2022.02.10.,다툼 끝에 흥분해 아내 살해한 70대...2심도 징역 8년,https://www.ajunews.com/view/20220210092336385,징역 8년,다툼 아내 살해 징역,70,아내,남편
75,2022.02.08.,[Pick] 20년지기 친구의 '힘든 부탁'… 촉탁살해 40대 항소심서 감형,https://news.sbs.co.kr/news/endPage.do?news_id=N1006632951&plink=ORI&cooper=NAVER,,친구 부탁 촉탁 살해 항소심 감형,40,친구,친구
76,2022.02.10.,경제적 문제로 다투다 아내 살해한 뒤 극단적 선택 시도한 60대 징역 24년,http://www.kwnews.co.kr/nview.asp?aid=222020900178,징역 24년,경제 문제 아내 살해 극단 선택 시도 징역,60,아내,남편
77,2022.02.08.,술김에 친구 살해→방화→이웃까지 숨지게 한 50대 '징역 35년',http://www.inews24.com/view/1449443,징역 35년,술김 친구 살해 방화 이웃 징역,50,친구,이웃
78,2022.02.15.,"""술 취해 자녀 안 돌봐"" 아내 살해 30대 징역4년",http://www.yonhapnewstv.co.kr/MYH20220215021900038/?did=1825m,징역4년,취해 자녀 아내 살해 징역,30,아내,남편
79,2022.02.10.,"아내 살해하고 ""화 못 참았으니 심신미약""…70대 징역 8년",http://www.newsis.com/view/?id=NISX20220209_0001752845&cID=10201&pID=10200,징역 8년,아내 살해 심신 미약 징역,70,아내,남편
80,2022.02.25.,"""나이 어리다고 무시해""...지인 살해한 50대에 징역 16년",https://www.pressian.com/pages/articles/2022022415493154351?utm_source=naver&utm_medium=search,징역 16년,나이 무시 지인 살해 징역,50,지인,지인
81,2022.02.11.,혼인신고 한 달 만에… 아내 살해 50대 2심도 징역 18년,https://hankookilbo.com/News/Read/A2022021115070002510?did=NA,징역 18년,혼인신고 아내 살해 징역,50,아내,남편
82,2022.02.20.,별거 중인 아내 외도 의심해 살해한 60대… 징역 12년 선고,http://www.joongboo.com/news/articleView.html?idxno=363527116,징역 12년,별거 중인 아내 외도 의심 살해 징역 선고,60,아내,남편
83,2022.02.16.,"이혼 소송 중 장검으로 아내 살해한 40대, 1심서 징역 20년 선고",https://view.asiae.co.kr/article/2022021616073076854,징역 20년,이혼 소송 장검 아내 살해 징역 선고,40,아내,남편
84,2022.02.18.,"'외도 의심' 별거중 아내 살해한 60대 남성, 징역 12년",https://imnews.imbc.com/news/2022/society/article/6342843_35673.html,징역 12년,외도 의심 별거 아내 살해 남성 징역,60,아내,남편
85,2022.02.16.,장인 앞에서 장검으로 아내 살해한 50대···1심 징역 20년 선고,http://www.jeonmae.co.kr/news/articleView.html?idxno=873859,징역 20년,장인 장검 아내 살해 징역 선고,50,아내,남편
86,2022.02.25.,"""나이 어리다고 무시해""...지인 살해한 50대에 징역 16년",https://www.pressian.com/pages/articles/2022022415493154351?utm_source=naver&utm_medium=search,징역 16년,나이 무시 지인 살해 징역,50,지인,지인
87,2022.02.17.,가정폭력 집행유예 38일만에 아내 살해한 40대 징역 15년,http://yna.kr/AKR20220217098200056?did=1195m,징역 15년,가정폭력 집행유예 아내 살해 징역,40,아내,남편
