,date,title,url,index,index_similarity,title_similar_index
3024,2022.05.17.,"8살 딸에 대소변 먹이고 살해한 부부, 아들 학대로 1년형 추가",http://news.mt.co.kr/mtview.php?no=2022051711205586670,3024$,"3024$8살 딸에 대소변 먹이고 살해한 부부, 아들 학대로 1년형 추가",[]
3027,2022.05.19.,[이 시각 세계] 플로이드 살해 가담한 경찰관 유죄 인정,https://imnews.imbc.com/replay/2022/nwtoday/article/6370094_35752.html,3027$,3027$[이 시각 세계] 플로이드 살해 가담한 경찰관 유죄 인정,[]
3028,2022.05.19.,헤어진 여자친구와 만나던 남성 흉기로 살해한 50대 항소심도 징역 13년,https://www.jjan.kr/article/20220519580330,3028$,3028$헤어진 여자친구와 만나던 남성 흉기로 살해한 50대 항소심도 징역 13년,[]
3029,2022.05.03.,"대법, 진로 문제로 갈등 빚던 모친 살해한 아들 징역 15년 확정",https://www.donga.com/news/article/all/20220503/113217833/2,3029$,"3029$대법, 진로 문제로 갈등 빚던 모친 살해한 아들 징역 15년 확정",[]
3030,2022.05.18.,"직장 외 알바 남편, 니코틴 살해 30대 아내 중형 선고",https://news.kmib.co.kr/article/view.asp?arcid=0017091552&code=61121111&cp=nv,3030$,"3030$직장 외 알바 남편, 니코틴 살해 30대 아내 중형 선고",[]
3031,2022.05.18.,"독일 검찰, 101세 최고령 나치 전범에 징역 5년 구형",http://www.newsis.com/view/?id=NISX20220518_0001875714&cID=10101&pID=10100,3031$,"3031$독일 검찰, 101세 최고령 나치 전범에 징역 5년 구형",[]
3032,2022.05.13.,"우크라이나 법원, 러시아 군인 첫 전범재판…민간인 살해 시인",http://www.busan.com/view/busan/view.php?code=2022051320565981438,3032$,"3032$우크라이나 법원, 러시아 군인 첫 전범재판…민간인 살해 시인",[]
3033,2022.05.03.,어머니 살해한 조현병 아들 징역 15년 확정,http://news.mk.co.kr/newsRead.php?no=393566&year=2022,3033$,3033$어머니 살해한 조현병 아들 징역 15년 확정,[]
3035,2022.05.17.,"'8살 딸 살해'로 30년 선고된 20대 부부, 아들 학대로 1년형 추가",http://news.heraldcorp.com/view.php?ud=20220517000559,3035$,"3035$'8살 딸 살해'로 30년 선고된 20대 부부, 아들 학대로 1년형 추가",[]
3037,2022.05.17.,‘층간 소음’ 흉기로 주민 2명 숨지게 한 30대에 무기징역 선고,http://www.segye.com/content/html/2022/05/17/20220517518377.html?OutUrl=naver,3037$,3037$‘층간 소음’ 흉기로 주민 2명 숨지게 한 30대에 무기징역 선고,[]
