,date,title,url
0,2021.07.30.,"생후 7개월 된 딸 방치해 살해한 친모, 징역 10년 확정",https://www.donga.com/news/article/all/20210730/108255331/2
1,2021.07.28.,"8살 딸 대소변 먹이고 학대·살해…엄마, 징역 30년 불복 항소",http://yna.kr/AKR20210728022800065?did=1195m
2,2021.07.27.,취업문제로 갈등 빚던 父 흉기로 살해한 30대 징역 15년,http://www.newsis.com/view/?id=NISX20210727_0001527507&cID=10814&pID=10800
3,2021.07.30.,홍콩보안법 위반 첫 피고인 징역 9년… 美 “언론자유 보장”,http://www.segye.com/content/html/2021/07/30/20210730515793.html?OutUrl=naver
4,2021.07.29.,"한인 살해 애틀랜타 총격범, 가석방 없는 종신형",https://www.donga.com/news/article/all/20210728/108226912/1
5,2021.07.22.,굶기고 대소변 먹여…8살 딸 살해 친모·계부 징역 30년,http://news.mk.co.kr/newsRead.php?no=707806&year=2021
6,2021.07.25.,"‘장대호 회고록’ 참고해 연인 잔혹살해…항소심, 형량 높여",https://www.seoul.co.kr/news/newsView.php?id=20210725500020&wlog_tag3=naver
7,2021.07.25.,"‘한강 토막 살인, 장대호 모방’ 연인 살해범 ‘징역 30년’",http://www.edaily.co.kr/news/newspath.asp?newsid=01810566629118128
8,2021.07.27.,취업 잔소리하는 아버지 살해한 30대 아들 징역 15년,http://yna.kr/AKR20210727060400057?did=1195m
9,2021.07.28.,“왜 날 감시하냐” 모텔 주인 환각살해 50대…징역 30년,http://news.kmib.co.kr/article/view.asp?arcid=0016105062&code=61121111&cp=nv
10,2021.07.26.,제주 중학생 살해 백광석·김시남…제주 4번째 신상공개 사례,https://www.news1.kr/articles/?4383787
11,2021.07.29.,피해 괴롭겠지만…'길고양이' 학대·살해가 최선입니까,http://www.newsis.com/view/?id=NISX20210728_0001529880&cID=10201&pID=10200
13,2021.07.30.,'7개월 딸 방치 살해' 20대 엄마 징역 10년 확정,http://www.yonhapnewstv.co.kr/MYH20210730009300038/?did=1825m
14,2021.07.20.,"""Who is Mr. Park?"" 필리핀 청부살해…징역 22년 확정",http://www.newsis.com/view/?id=NISX20210719_0001518627&cID=10201&pID=10200
15,2021.07.28.,한인 4명 살해한 애틀랜타 총격범 종신형...사과는 없었다,https://biz.chosun.com/international/international_general/2021/07/28/R5IWX3CQ2VCT5FPKNIKBX47PMQ/?utm_source=naver&utm_medium=original&utm_campaign=biz
16,2021.07.26.,"아내에게 불륜들키자 내연녀 살해하려던 30대, 징역10년",http://www.newsis.com/view/?id=NISX20210726_0001526807&cID=10810&pID=10800
17,2021.07.28.,취업 문제로 갈등 빚던 아버지 살해한 아들 징역 15년,https://news.kbs.co.kr/news/view.do?ncd=5243590&ref=A
18,2021.07.22.,동생 살해 목격한 9살 오빠의 결정적 진술…엄마 거짓말 들통,http://yna.kr/AKR20210722145100065?did=1195m
19,2021.07.22.,‘또래보다 10kg 체중 미달’ 8살 딸 살해 20대 부모에 징역 30년 선고,https://news.kbs.co.kr/news/view.do?ncd=5239851&ref=A
20,2021.07.22.,“정신병원 강제입원시켜 인생 꼬였다” 父 살해한 아들 징역 10년,https://www.seoul.co.kr/news/newsView.php?id=20210722500058&wlog_tag3=naver
21,2021.07.22.,갓난아기 4층서 던져 살해한 친모…“징역2년 무겁다” 항소 기각,https://www.seoul.co.kr/news/newsView.php?id=20210722500114&wlog_tag3=naver
22,2021.07.23.,탯줄 달린 아기 4층서 던져 살해한 母…'징역 2년' 항소 기각,http://www.edaily.co.kr/news/newspath.asp?newsid=01469446629117472
23,2021.07.22.,"""90대 아버지가 날 성폭행"" 친부 살해한 50대 딸 징역 5년형",http://www.fnnews.com/news/202107220617260062
24,2021.07.22.,굶기고 대소변 먹여…8살 딸 학대 살해 계부·친모 징역 30년,https://www.seoul.co.kr/news/newsView.php?id=20210722500102&wlog_tag3=naver
25,2021.07.21.,"""다 죽여버릴 거야"" 처음 본 50대 살해…무기징역 확정",http://www.newsis.com/view/?id=NISX20210721_0001520998&cID=10201&pID=10200
26,2021.07.27.,불륜 사실 들키자 내연녀 살해 시도한 30대 징역 10년,http://www.inews24.com/view/1389439
27,2021.07.23.,"'무기징역' 정인이 양모, 오늘 항소심 첫 재판",http://yna.kr/AKR20210722145500004?did=1195m
28,2021.07.28.,'한인 살해' 애틀란타 총격범… 일부 재판서 가석방 없는 종신형,http://moneys.mt.co.kr/news/mwView.php?no=2021072808188083042
29,2021.07.20.,"""뭘 쳐다봐"" 70대 무차별 폭행한 20대…징역 7년 구형",http://www.newsis.com/view/?id=NISX20210720_0001519349&cID=10201&pID=10200
30,2021.07.23.,"정인이 양모 “발로 안 밟았고, 살해 의도 없었다”…2심서 주장",http://news.kmib.co.kr/article/view.asp?arcid=0016086224&code=61121111&cp=nv
31,2021.07.23.,8살 아이가 13kg…학대 살해한 부모 징역 30년,https://imnews.imbc.com/replay/2021/nwtoday/article/6288508_34943.html
32,2021.07.21.,"""살인이 세상에서 제일 쉽다""… 등산객 묻지마 살해범, 무기징역 확정",http://www.segye.com/content/html/2021/07/21/20210721506682.html?OutUrl=naver
33,2021.07.21.,'등산객 묻지마 살해' 20대 무기징역 확정,http://news.mk.co.kr/newsRead.php?no=702318&year=2021
34,2021.07.22.,"""8살 아이가 13kg""…딸 학대 살해한 부모 '징역 30년'",https://imnews.imbc.com/replay/2021/nwdesk/article/6288441_34936.html
35,2021.07.16.,사촌형 부부 자녀들 앞에서 잔인하게 살해…2심 무기징역,http://yna.kr/AKR20210715170700004?did=1195m
36,2021.07.28.,8살 딸 3년간 35차례 학대·살해 20대 친모 1심 '징역 30년' 항소,http://www.inews24.com/view/1390151
37,2021.07.21.,“내 돈 노렸지?”… 혼인 한 달만에 아내 살해한 남편 징역 20년,https://biz.chosun.com/topics/topics_social/2021/07/21/YOCVSMAETNFUPO52YWWW7VXIQM/?utm_source=naver&utm_medium=original&utm_campaign=biz
38,2021.07.23.,"""일감 왜 안 줘"" 30대 살해한 하청업체 대표 징역 30년",http://www.newsis.com/view/?id=NISX20210723_0001523634&cID=10814&pID=10800
39,2021.07.24.,판결문으로 본 '8살 딸 학대·살해' 부부의 끔찍한 가혹행위,http://yna.kr/AKR20210723140500065?did=1195m
40,2021.07.26.,옛 애인 감금·살인미수 30대 징역 10년,http://yna.kr/AKR20210726117600053?did=1195m
41,2021.07.23.,일감 끊기자 협력업체 간부 직원 흉기로 살해…징역 30년,http://yna.kr/AKR20210723066300057?did=1195m
42,2021.07.19.,"[Pick] ""부모 숨졌는데 바퀴벌레가 몸 차지"" 망상에 노모 살해",https://news.sbs.co.kr/news/endPage.do?news_id=N1006396880&plink=ORI&cooper=NAVER
43,2021.07.24.,"""나는 깨끗한 흰색, 죽일 권리가 있다""…묻지마 등산객 살해범 무기징역",https://view.asiae.co.kr/article/2021072317210872978
44,2021.07.19.,생일선물 안 준다고 아버지에 흉기…‘존속살해미수’ 30대 징역형,https://www.seoul.co.kr/news/newsView.php?id=20210719500097&wlog_tag3=naver
45,2021.07.19.,망상에 사로잡혀 모친 살해한 명문대 졸업생 ‘징역 12년’,http://www.segye.com/content/html/2021/07/19/20210719510641.html?OutUrl=naver
46,2021.07.14.,‘주식부자‘ 이희진 부모 살해 김다운 2심도 무기징역,http://www.newsis.com/view/?id=NISX20210714_0001512844&cID=10803&pID=14000
47,2021.07.23.,"망상에 빠져 마을 이장 살해한 60대, 항소심도 징역 13년",http://www.newsis.com/view/?id=NISX20210723_0001523930&cID=10807&pID=10800
48,2021.07.28.,8살 딸 살해 ‘징역 30년’ 20대 부모 항소…검찰 맞항소,https://news.kbs.co.kr/news/view.do?ncd=5244127&ref=A
49,2021.07.22.,'아버지가 내 인생 망쳐' 존속살해…징역 10년 확정,http://news.tf.co.kr/read/life/1876920.htm
50,2021.07.22.,"""내 인생 망쳤다"" 부친 살해, 조현병 아들 징역 10년",http://yna.kr/AKR20210722066300004?did=1195m
51,2021.07.23.,망상과 환청에 이끌려 마을 이장 살해…2심도 징역 13년,http://yna.kr/AKR20210723084200063?did=1195m
52,2021.07.26.,지하주차장서 숨어있다가 '퍽'…지인 여성 살해하려 한 30대 '징역 10년',https://news.imaeil.com/Society/2021072611112920723
53,2021.07.22.,‘온몸에 뼈대만 앙상’…8살 딸 살해한 20대 부모 징역 30년,https://news.kbs.co.kr/news/view.do?ncd=5240274&ref=A
54,2021.07.16.,"전 여친 토막살해 유동수, 징역 35년→무기징역 ""교화 어렵다""",https://news.imaeil.com/Society/2021071614261283752
55,2021.07.22.,"피해망상 빠져 친부 살해…대법 ""중형보단 치료 필요""",http://www.newsis.com/view/?id=NISX20210721_0001521158&cID=10201&pID=10200
56,2021.07.30.,"울산지법, 상속문제로 화가나 동생 살해하려 찾아가 불지른 70대 실형",http://www.lawissue.co.kr/view.php?ud=2021073012565452929a8c8bf58f_12
57,2021.07.28.,"울산지법, 취업문제 등 핀잔과 욕설 듣고 아버지 흉기 살해 아들 징역 15년",http://www.lawissue.co.kr/view.php?ud=2021072815250411359a8c8bf58f_12
58,2021.07.22.,"외박 잦은 아내 13차례 찔러 살해한 남편, 징역 20년",https://www.sedaily.com/NewsView/22P0EY5YBV
59,2021.07.29.,영웅파 사건이란? 폭력 조직원 살해하고 식인행위까지,http://www.gukjenews.com/news/articleView.html?idxno=2277430
60,2021.07.26.,내연관계 여성 살해하려 한 30대 징역10년 선고,https://www.yeongnam.com/web/view.php?key=20210726010003289
61,2021.07.23.,"""지배당했다"" 망상에 마을 이장 둔기 살해 50대 '징역 13년'",https://www.news1.kr/articles/?4381398
62,2021.07.13.,"“순간 감정 억제 못해…” 울먹인 누나 살해범, 무기징역 구형",http://news.kmib.co.kr/article/view.asp?arcid=0016049271&code=61121311&cp=nv
63,2021.07.23.,8세 딸 굶기고 대·소변 먹이다 학대 살해… 20대 친모·계부 징역 30년,http://www.segye.com/content/html/2021/07/22/20210722515763.html?OutUrl=naver
