,date,title,url,처벌,범죄_키워드,가해자_나이대,피해자,가해자
63,2022.02.10.,돈 문제로 아내 살해한 뒤 심신미약 주장 60대 징역24년 선고,https://www.news1.kr/articles/?4580985,징역24년,"['문제', '살해', '심신', '미약', '주장', '징역', '선고']",60,아내,남편
64,2022.02.11.,이유도 없이…혼인신고 한 달 만에 아내 살해한 50대 중형,http://news.kmib.co.kr/article/view.asp?arcid=0016761332&code=61121111&cp=nv,,"['이유', '혼인신고', '살해', '중형']",50,아내,남편
65,2022.02.11.,차량값 요구한 지인 살해 60대 항소심도 징역 12년,http://www.kwnews.co.kr/nview.asp?aid=222021000095,징역 12년,"['차량', '요구', '살해', '항소심', '징역']",60,지인,지인
66,2022.02.16.,장인 앞에서 일본도로 아내 살해한 40대男 '징역 20년',https://www.dailian.co.kr/news/view/1083884/?sc=Naver,징역 20년,"['장인', '일본도', '살해', '징역']",40,아내,남편
67,2022.02.08.,[Pick] 20년지기 친구의 '힘든 부탁'… 촉탁살해 40대 항소심서 감형,https://news.sbs.co.kr/news/endPage.do?news_id=N1006632951&plink=ORI&cooper=NAVER,,"['부탁', '촉탁', '살해', '항소심', '감형']",40,친구,친구
68,2022.02.03.,빚 압박에 부모 살해하려 한 40대‥어머니 선처로 2심서 '징역 7년' 감형,https://imnews.imbc.com/news/2022/society/article/6338175_35673.html,징역 7년,"['압박', '살해', '선처', '징역', '감형']",40,부모,어머니
69,2022.02.09.,"""차 공짜로 줄게""→""돈 줘"" 돌변한 지인 살해한 60대 12년형",http://yna.kr/AKR20220209144300062?did=1195m,,"['공짜', '돌변', '살해']",60,지인,지인
70,2022.02.10.,"아내 살해한 70대 2심도 징역 8년…""형량 무겁지 않아""",http://www.hg-times.com/news/articleView.html?idxno=238300,징역 8년,"['살해', '징역', '형량']",70,아내,남편
71,2022.02.07.,"""먼저 맞은 건 나""…친구 살해 50대 남, 항소에도 '징역 35년'",https://www.news1.kr/articles/?4575555,징역 35년,"['먼저', '살해', '항소', '징역']",50,친구,친구
72,2022.02.11.,"암투병 친구 ""제발 죽여달라""…살해한 40대 여성 감형",https://www.sedaily.com/NewsView/2623LDY5OB,,"['암투', '제발', '달라', '살해', '감형']",40,친구,여성
73,2022.02.15.,'여친 둔기살해·암매장' 40대男…여친 엄마 돈으로 도박 탕진했었다,http://www.nbntv.co.kr/news/articleView.html?idxno=955096,,"['둔기', '살해', '암매장', '엄마', '도박', '탕진']",40,여친,여친
74,2022.02.13.,아내 살해 50대 항소심서도 중형,http://www.ggilbo.com/news/articleView.html?idxno=895753,,"['살해', '항소심', '서도', '중형']",50,아내,남편
75,2022.02.10.,경제적 문제로 다투다 아내 살해한 뒤 극단적 선택 시도한 60대 징역 24년,http://www.kwnews.co.kr/nview.asp?aid=222020900178,징역 24년,"['경제', '문제', '살해', '극단', '선택', '시도', '징역']",60,아내,남편
76,2022.02.09.,'공짜차 주고 돈 요구'지인 살해한 60대 12년형,http://www.kado.net/news/articleView.html?idxno=1112183,,"['공짜', '요구', '살해']",60,지인,지인
77,2022.02.08.,술김에 친구 살해→방화→이웃까지 숨지게 한 50대 '징역 35년',http://www.inews24.com/view/1449443,징역 35년,"['술김', '살해', '방화', '징역']",50,친구,이웃
78,2022.02.03.,"부모 살해미수 '인면수심' 40대, 징역 10년→7년...이유는",https://www.ajunews.com/view/20220203091225059,징역 10년,"['살해', '미수', '인면수', '징역', '이유']",40,부모,자식
79,2022.02.11.,원주서 아내 살해 후 극단선택 시도한 60대 중형,http://www.kado.net/news/articleView.html?idxno=1112481,,"['원주', '살해', '극단', '선택', '시도', '중형']",60,아내,남편
80,2022.02.04.,빚 독촉 시달리자 부모 살해 시도…자신도 목숨 끊으려 한 40대,http://www.segye.com/content/html/2022/02/03/20220203505599.html?OutUrl=naver,,"['독촉', '살해', '시도', '자신', '목숨']",40,부모,자식
81,2022.02.25.,"""나이 어리다고 무시해""...지인 살해한 50대에 징역 16년",https://www.pressian.com/pages/articles/2022022415493154351?utm_source=naver&utm_medium=search,징역 16년,"['나이', '무시', '살해', '징역']",50,지인,지인
82,2022.02.25.,무시했다는 이유로 지인 살해한 50대 징역 16년,https://news.kbs.co.kr/news/view.do?ncd=5403690&ref=A,징역 16년,"['무시', '이유', '살해', '징역']",50,지인,지인
83,2022.02.17.,폭행 용서해준 아내 살해한 40대 '징역 15년',https://www.nocutnews.co.kr/news/5709103,징역 15년,"['폭행', '용서', '살해', '징역']",40,아내,남편
84,2022.02.23.,"홧김에 아내 둔기로 살해하려 한 70대, 2심도 '징역 3년'",http://www.newsis.com/view/?id=NISX20220223_0001770297&cID=10803&pID=14000,징역 3년,"['홧김', '둔기', '살해', '징역']",70,아내,남편
85,2022.02.24.,"아내 장검으로 살해한 50대, 징역 20년에 항소…'검찰도 항소'",http://www.hg-times.com/news/articleView.html?idxno=238824,징역 20년,"['장검', '살해', '징역', '항소', '검찰', '항소']",50,아내,남편
86,2022.02.15.,"""술 취해 자녀 안 돌봐"" 아내 살해 30대 징역4년",http://www.yonhapnewstv.co.kr/MYH20220215021900038/?did=1825m,징역4년,"['취해', '자녀', '살해', '징역']",30,아내,남편
87,2022.02.10.,“아들 돈 함부로 받지 말라” 다툼...아내 살해한 70대 징역 8년,https://www.seoul.co.kr/news/newsView.php?id=20220210500011&wlog_tag3=naver,징역 8년,"['아들', '함부로', '다툼', '살해', '징역']",70,아내,남편
