,date,title,url
0,2021.08.30.,갈비뼈 부러뜨려 조카 살해…외삼촌 부부에 징역 30년 구형(종합),http://yna.kr/AKR20210830053051065?did=1195m
1,2021.08.31.,"'2명 살해' 전자발찌 50대 ""보도 똑바로 해라"" 신경질",http://www.newsis.com/view/?id=NISX20210831_0001566037&cID=10201&pID=10200
2,2021.08.31.,전자발찌 끊고 여성 2명 살해...오늘 구속여부 결정,https://www.seoul.co.kr/news/newsView.php?id=20210831500010&wlog_tag3=naver
3,2021.08.30.,전자발찌 끊고 2명 살해한 전과 14범… 재범 방지 시스템 허점,http://www.segye.com/content/html/2021/08/29/20210829509582.html?OutUrl=naver
4,2021.08.30.,"'전자발찌 훼손·살해' 성전과자, 집중대상자 분류에도…재범 못막아(종합)",https://www.news1.kr/articles/?4418516
5,2021.08.30.,처음 만나 술 마시던 상대 살해한 30대 무기징역 구형,http://yna.kr/AKR20210830100600056?did=1195m
6,2021.08.30.,첫 살해 뒤 전자발찌 끊고 이동 CCTV 입수...'연쇄 살인' 50대 신상공개 검토,https://www.ytn.co.kr/_ln/0103_202108301343387841
7,2021.08.30.,이혼 요구한 아내 내연남 살해하려 한 40대 징역형 집행유예,http://yna.kr/AKR20210830048100065?did=1195m
8,2021.08.31.,"(영상)여성 살해 뒤 ""어디 숨어?""...또 전자발찌 끊고 도주",http://www.edaily.co.kr/news/newspath.asp?newsid=01082406629152896
9,2021.08.30.,"전자발찌 끊고 살해 저지른 50대, 16년 전 범행 있었다",https://news.sbs.co.kr/news/endPage.do?news_id=N1006447322&plink=ORI&cooper=NAVER
10,2021.08.29.,전자발찌 끊고 도주했던 50대…여성 2명 살해(종합2보),http://yna.kr/AKR20210829009952004?did=1195m
11,2021.08.30.,경찰 '전자발찌 연쇄살해범' 30m 앞에서 놓쳐…이튿날 두번째 살인,https://www.news1.kr/articles/?4419171
12,2021.08.30.,전자발찌 끊은 전과 14범 살인마… 2명 살해 후 자수한 이유,https://www.chosun.com/national/incident/2021/08/30/2PYYJIJUDFAPRLSVZR4L7RC7AA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
13,2021.08.30.,'여성 2명 살해' 전자발찌 50대…내일 구속심사(종합),http://www.newsis.com/view/?id=NISX20210830_0001565664&cID=10201&pID=10200
15,2021.08.31.,20개월 영아 강간·살해범 신상 공개 못한 이유는 [법알못],https://www.hankyung.com/society/article/2021083104877
16,2021.08.30.,"‘전자발찌 끊고 도주’ 성범죄자, 여성 2명 살해",https://www.donga.com/news/article/all/20210830/108819248/1
17,2021.08.29.,"전자발찌 끊고 도망쳤던 성범죄 전과자, 여성 2명 살해(종합)",http://yna.kr/AKR20210829009951004?did=1195m
19,2021.08.31.,"당진 자매살해 피고인, 사형 선고 재판 참고해 심리 조사키로",http://yna.kr/AKR20210831143600063?did=1195m
20,2021.08.29.,[단독] 전자발찌 훼손 후 도주 남성…여성 2명 살해,https://news.sbs.co.kr/news/endPage.do?news_id=N1006446132&plink=ORI&cooper=NAVER
21,2021.08.31.,"""살해했다""며 타고 온 차엔 시신이…전자발찌범 왜 자수했나",http://news.mt.co.kr/mtview.php?no=2021083104492617605
22,2021.08.30.,"전자발찌 끊고 여성 2명 살해 50대 남성 ""금전문제가 범행동기""",http://moneys.mt.co.kr/news/mwView.php?no=2021083008048019517
23,2021.08.31.,"[사건의 재구성]""함께 가자"" 가족살해 후 극단선택 시도, 혼자 살아남은 40대",https://www.news1.kr/articles/?4418997
24,2021.08.26.,변호사 아버지 명의 111억 빌려 탕진 뒤 살해 시도…2심도 징역 8년,https://www.chosun.com/national/court_law/2021/08/26/2FTXAZHKM5HYPLCUBGMFKBAG5Y/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
25,2021.08.31.,"""붙잡히자 살인 자백, 왜?""…당진 자매살해범 정신감정 받는다",https://www.news1.kr/articles/?4420196
26,2021.08.25.,연락처 삭제했다고…16살 어린 남친 살해한 여성 '무기징역',https://news.sbs.co.kr/news/endPage.do?news_id=N1006441654&plink=ORI&cooper=NAVER
27,2021.08.30.,"전자발찌 끊고 도주한 성범죄자, 알던 여성 2명 살해했다",http://news.kmib.co.kr/article/view.asp?arcid=0924207014&code=11131200&cp=nv
28,2021.08.31.,"洪·劉, 20개월 영아 강간·살해한 계부에 ""사형시켜야"" 격분",https://www.news1.kr/articles/?4420486
29,2021.08.27.,"""왜 다른 남자 만나""…여성 살해한 50대 징역 20년",http://yna.kr/AKR20210827048900061?did=1195m
30,2021.08.31.,"'전자발찌 훼손 후 살해' 50대 강씨 ""보도 똑바로 하라"" 항의",http://www.gukjenews.com/news/articleView.html?idxno=2298604
31,2021.08.31.,민간인 살해 후 반군 사살로 조작한 콜롬비아 사건 재판 기각,http://www.newsis.com/view/?id=NISX20210831_0001566568&cID=10101&pID=10100
32,2021.08.29.,"산후우울증으로 생후 4개월 아들 살해한 엄마, 2심도 집유",https://www.seoul.co.kr/news/newsView.php?id=20210829500017&wlog_tag3=naver
33,2021.08.30.,"별거 중이던 아내에게 휘발유 뿌려 불 지른 50대 남편, 2심서 징역 7년",http://www.newsis.com/view/?id=NISX20210830_0001564526&cID=10810&pID=10800
34,2021.08.30.,전처 만남 불발되자 딸에 흉기 분풀이…2심 징역 5년,http://www.newsis.com/view/?id=NISX20210827_0001563195&cID=10201&pID=10200
35,2021.08.31.,처음 만났는데 술병 잔혹 살해… 30대에 무기징역 구형,http://news.kmib.co.kr/article/view.asp?arcid=0016219286&code=61121311&cp=nv
36,2021.08.29.,2명 살해될 동안 전자발찌 '무용지물'... 세번 출동 경찰 문도 못 열어봐,https://hankookilbo.com/News/Read/A2021082916580004864?did=NA
37,2021.08.26.,“온라인 게임서 말다툼” 실제 찾아온 상대 살해...징역 15년,https://www.seoul.co.kr/news/newsView.php?id=20210826500102&wlog_tag3=naver
38,2021.08.30.,처음 만난 사람 살해한 30대…검찰 '무기징역' 구형,https://www.nocutnews.co.kr/news/5615846
39,2021.08.28.,"모친 살해 패륜 40대…""존속살해 형량"" 검색후 자수",http://www.newsis.com/view/?id=NISX20210827_0001562683&cID=10201&pID=10200
40,2021.08.31.,‘한인 4명 등 살해’ 애틀랜타 총격범 두번째 재판…검찰 “사형 구형할 것”,https://www.joongang.co.kr/article/25002958
41,2021.08.30.,"경찰, '전자발찌 끊고 2명 살해' 50대 구속영장 신청",http://www.newspim.com/news/view/20210830001022
